WID,TYPE,x,y,WORKER,SERIAL,NAICS,ESS_CLASS
24689,w,-87.385113,30.519315,1,841447,713940,Nonessential
24690,w,-87.1800435,30.495996,1,841457,813410,Nonessential
24691,w,-87.3784305,30.392928,1,841463,448310,Nonessential
24692,w,-87.335991,30.4618815,1,841464,928110,Essential
24693,w,-87.309612,30.42864,1,841503,238330,Essential*
24694,w,-87.3034425,30.62574,1,841515,561499,Essential*
24695,w,-87.256134,30.485043,3,841531,999999,
24696,w,-87.2939931856359,30.4121813601511,1,841568,512199,Nonessential
24697,w,-87.225012,30.53061,1,841586,722511,Essential*
24698,w,-87.277554,30.443976,1,841610,561720,Essential
24699,w,-87.203214,30.476178,1,841640,531210,Essential
24700,w,-87.31521,30.568617,1,841642,444120,Essential
24701,w,-87.1905735,30.493773,2,841692,621111,Essential
24702,w,-87.4915335,30.287664,1,841700,238990,Essential*
24703,w,-87.2115435,30.42063,6,841725,541990,Essential*
24704,w,-87.179121,30.490056,5,841736,561499,Essential*
24705,w,-87.2226225,30.416283,1,841757,999999,
24706,w,-87.28434,30.419316,1,841764,561720,Essential
24707,w,-87.277425820812,30.3878517682048,9,841776,541614,Essential*
24708,w,-87.2188515,30.534003,5,841790,621111,Essential
24709,w,-87.252453,30.497319,2,841793,811490,Essential
24710,w,-87.2474805,30.398553,4,841797,238160,Essential*
24711,w,-87.267951,30.522816,25,841807,424910,Essential
24712,w,-87.2750897076672,30.4264093406101,1,841862,999999,
24713,w,-87.3020835,30.595887,5,841869,812113,Nonessential
24714,w,-87.332022,30.96828,1,841936,541320,Essential*
24715,w,-87.2108235,30.417939,1,841965,722410,Essential*
24716,w,-87.18993,30.493107,1,841973,621610,Essential
24717,w,-87.2474805,30.464892,3,841975,524210,Essential
24718,w,-87.275241,30.53421,1,842003,999999,
24719,w,-87.350823,30.588462,1,842004,812112,Nonessential
24720,w,-87.232194,30.549429,1,842076,999999,
24721,w,-87.1879635,30.497994,1,842114,531210,Essential
24722,w,-87.190434,30.530898,1,842129,561990,Essential*
24723,w,-87.1681815,30.489138,2,842157,561720,Essential
24724,w,-87.2895915,30.551607,1,842181,561730,Essential*
24725,w,-87.302214,30.346299,2,842199,928110,Essential
24726,w,-87.2200035,30.440997,3,842211,921120,Essential
24727,w,-87.231141,30.452373,3,842217,999999,
24728,w,-87.2588925,30.558492,2,842235,561499,Essential*
24729,w,-87.33042,30.451842,3,842244,561990,Essential*
24730,w,-87.278823,30.453183,1,842266,423940,Nonessential
24731,w,-87.2101156100495,30.4088634482118,2,842276,621399,Essential
24732,w,-87.3335205,30.575475,1,842298,541611,Essential*
24733,w,-87.3195435,30.479796,1,842306,561990,Essential*
24734,w,-87.334101,30.405393,1,842341,238320,Essential*
24735,w,-87.2606115,30.53394,2,842351,999999,
24736,w,-87.309171,30.446586,1,842378,561499,Essential*
24737,w,-87.2916525,30.408255,1,842388,531210,Essential
24738,w,-87.347043,30.606219,1,842399,541990,Essential*
24739,w,-87.217434,30.416067,5,842401,624190,Essential
24740,w,-87.2188515,30.534003,1,842402,621111,Essential
24741,w,-87.2532135,30.495654,18,842405,522320,Essential
24742,w,-87.2079047387785,30.4708762678852,8,842413,999999,
24743,w,-87.308253,30.405249,1,842417,541922,Essential*
24744,w,-87.201783,30.423672,2,842434,812112,Nonessential
24745,w,-87.2049915,30.467673,2,842435,722511,Essential*
24746,w,-87.2426025,30.410478,1,842495,238350,Essential*
24747,w,-87.391152,30.404835,1,842524,448120,Nonessential
24748,w,-87.2534115,30.469797,1,842542,541213,Essential
24749,w,-87.2131635,30.405609,1,842556,541191,Essential
24750,w,-87.4285515,30.336165,1,842558,561720,Essential
24751,w,-87.2181727887601,30.5427802781005,12,842570,515112,Essential
24752,w,-87.211593,30.473505,4,842598,517311,
24753,w,-87.2640960986313,30.5108052897675,1,842600,561990,Essential*
24754,w,-87.2653967990211,30.3523903663744,3,842606,621493,Essential
24755,w,-87.224742,30.491082,26,842615,423840,Essential
24756,w,-87.164172,30.489678,1,842654,311811,Essential
24757,w,-87.350922,30.340503,1,842661,561990,Essential*
24758,w,-87.2489025,30.473154,1,842689,621210,Essential
24759,w,-87.17715,30.433419,1,842702,561990,Essential*
24760,w,-87.30315,30.598749,2,842715,811490,Essential
24761,w,-87.269643,30.585924,1,842747,561990,Essential*
24762,w,-87.2879547412181,30.3524153124514,31,842767,928110,Essential
24763,w,-87.2209305,30.44277,1,842771,813110,Essential*
24764,w,-87.18462,30.504177,1,842784,424450,Essential
24765,w,-87.205122,30.440394,1,842800,813110,Essential*
24766,w,-87.207633,30.471795,6,842817,999999,
24767,w,-87.1936605,30.512232,1,842822,541890,Essential*
24768,w,-87.352173,30.332277,1,842843,811412,Essential
24769,w,-87.2023815,30.426255,7,842878,711310,Nonessential
24770,w,-87.212304,30.414024,1,842906,999999,
24771,w,-87.3130564647582,30.4227583868643,1,842934,561990,Essential*
24772,w,-87.228054,30.405879,2,842942,813319,Essential*
24773,w,-87.2152605,30.408327,17,842949,531120,Essential
24774,w,-87.2679825,30.538737,1,842954,561730,Essential*
24775,w,-87.402573,30.536064,1,842960,237310,Essential
24776,w,-87.244083,30.470418,2,842985,812320,Essential
24777,w,-87.311394,30.596724,2,843003,524210,Essential
24778,w,-87.2933535,30.377385,1,843004,448120,Nonessential
24779,w,-87.312411,30.519099,1,843014,722511,Essential*
24780,w,-87.3192015,30.463083,1,843017,813110,Essential*
24781,w,-87.2587305,30.565485,1,843018,561990,Essential*
24782,w,-87.32871,30.503007,1,843039,561520,Nonessential
24783,w,-87.2156025,30.408426,6,843056,541110,Essential
24784,w,-87.42708,30.980889,1,843088,236115,Essential
24785,w,-87.181614,30.448989,1,843090,423120,Essential
24786,w,-87.260463,30.492243,1,843092,721110,Essential
24787,w,-87.2214055740756,30.4263291793355,1,843094,541511,Essential
24788,w,-87.4065915,30.321747,1,843125,238910,Essential
24789,w,-87.3124651794945,30.5342987013121,1,843141,811192,Nonessential
24790,w,-87.2154547130851,30.4127464297387,1,843156,517311,
24791,w,-87.2694789695086,30.5332605479056,7,843165,561421,Essential*
24792,w,-87.294771,30.417408,1,843167,446199,Essential
24793,w,-87.280281,30.541095,1,843180,999999,
24794,w,-87.260751,30.560328,2,843184,451130,Nonessential
24795,w,-87.2382915,30.446343,16,843206,611620,Essential*
24796,w,-87.2185635,30.516228,1,843210,999999,
24797,w,-87.214203,30.517632,4,843228,813110,Essential*
24798,w,-87.4375425,30.296709,1,843229,722511,Essential*
24799,w,-87.2673435,30.575709,1,843230,621210,Essential
24800,w,-87.2526735,30.5055,2,843245,541990,Essential*
24801,w,-87.2145864153664,30.513169031001,2,843275,561990,Essential*
24802,w,-87.307614,30.447909,1,843277,561790,Essential*
24803,w,-87.1988770652087,30.53804510419,2,843302,611620,Essential*
24804,w,-87.4004625,30.547206,2,843321,561730,Essential*
24805,w,-87.2792415,30.518703,1,843365,445120,Essential
24806,w,-87.291603,30.423159,1,843385,451130,Nonessential
24807,w,-87.2657235,30.419712,1,843392,236116,Essential
24808,w,-87.2220735,30.506229,1,843406,424420,Essential
24809,w,-87.287553,30.559365,1,843426,713940,Nonessential
24810,w,-87.2415225,30.444543,3,843443,453310,Nonessential
24811,w,-87.2440515,30.467475,1,843451,812112,Nonessential
24812,w,-87.203934,30.465918,11,843453,541110,Essential
24813,w,-87.28002,30.418497,1,843459,561730,Essential*
24814,w,-87.1879635,30.497994,3,843480,541191,Essential
24815,w,-87.2758215,30.410307,1,843494,532210,Essential
24816,w,-87.211692,30.410235,1,843537,561499,Essential*
24817,w,-87.3744615,30.385836,2,843543,561730,Essential*
24818,w,-87.3135405,30.418146,1,843553,238340,Essential*
24819,w,-87.20973,30.474243,1,843557,448210,Nonessential
24820,w,-87.2745624,30.3519547000001,3,843563,928110,Essential
24821,w,-87.21504,30.49353,9,843610,561720,Essential
24822,w,-87.188994,30.488193,4,843661,812112,Nonessential
24823,w,-87.2498025,30.562092,1,843668,813990,Essential*
24824,w,-87.226731,30.501405,1,843683,531210,Essential
24825,w,-87.225543,30.467079,1,843702,621410,Essential
24826,w,-87.28227,30.550419,1,843755,524210,Essential
24827,w,-87.216381,30.409902,1,843776,541110,Essential
24828,w,-87.2877825,30.47535,1,843791,561740,Nonessential
24829,w,-87.2152605,30.408327,2,843795,541110,Essential
24830,w,-87.192603,30.53277,53,843807,423510,Essential
24831,w,-87.310944,30.501144,6,843813,812220,Essential
