SID,x,y,STUDENT,WORKER
1,-87.1678433095678,30.4990028720984,930,133
2,-87.3243942295056,30.5137864521614,862,124
3,-87.2866526095242,30.4614057813429,451,65
4,-87.2411093297824,30.4688940813848,496,71
5,-87.2569727595099,30.4742824715068,187,27
6,-87.2540292787938,30.4730961420237,594,85
7,-87.2222275502927,30.5222418713645,1134,162
8,-87.1978226799005,30.5164828116256,891,128
9,-87.2694649839091,30.406811276353,731,105
10,-87.174335570355,30.4626173522587,511,73
11,-87.4020749407038,30.3603404926273,842,121
12,-87.2783556988361,30.3831040411623,721,103
13,-87.2738749695591,30.3859042614489,631,91
14,-87.2099603697562,30.5278335019069,861,123
15,-87.1795700300265,30.4389326821082,413,59
16,-87.1771854794167,30.439258690991,378,54
17,-87.457812970319,30.8878818118835,214,31
18,-87.2995435701192,30.4223346716338,1327,190
19,-87.2786689899909,30.3936981223132,515,74
20,-87.2509492405361,30.4374745313048,218,32
21,-87.2292979197764,30.4408289907559,249,36
22,-87.2067427699224,30.4385546125574,406,58
23,-87.2044447005587,30.435778882059,500,72
24,-87.2048921803538,30.4316574912342,320,46
25,-87.202510652954,30.4263185337959,72,11
26,-87.2012040693382,30.4265045014793,277,40
27,-87.2168651798373,30.4162699216505,272,39
28,-87.208986309916,30.4089797209033,259,37
29,-87.2731922204262,30.4046807914462,265,38
30,-87.297703299311,30.4264254616516,454,65
31,-87.2829500490804,30.4210947023037,403,58
32,-87.2773069002728,30.3910463314496,251,36
33,-87.2248077804498,30.4347108214891,77,11
34,-87.243142289967,30.4407123714677,168,24
35,-87.2352142495148,30.438504202326,609,87
36,-87.2034162703265,30.4291655020419,116,17
37,-87.1828397479412,30.4265636880995,136,20
38,-87.2967288397611,30.4223926315104,463,67
39,-87.2842337003432,30.4314595614944,636,91
40,-87.2811779898733,30.3895893808327,243,35
41,-87.3576072801727,30.5050013009588,270,39
42,-87.2774482705192,30.5073368714886,314,45
43,-87.3047709195352,30.4641252908591,401,58
44,-87.3060470007338,30.4673719009615,396,57
45,-87.2953689108667,30.4880141018261,285,41
46,-87.2226223200954,30.4469488115352,114,17
47,-87.2075155802557,30.4503477222248,210,30
48,-87.2504006596038,30.5170962514505,446,64
49,-87.216356980362,30.5140944118853,427,61
50,-87.1937960088713,30.4623132212289,222,32
51,-87.1772164502856,30.4891365819257,404,58
52,-87.2341095036161,30.4312609583104,431,62
53,-87.2331838406082,30.4321862918102,110,16
54,-87.3266239398428,30.9641176321823,89,13
55,-87.1151747599109,30.3374408617823,102,15
56,-87.381507496698,30.531115446439,208,30
57,-87.323814910229,30.6246693025067,435,63
58,-87.2883348609747,30.5835995813441,293,42
59,-87.2478769100612,30.4975614519276,237,34
60,-87.2061336007454,30.4873124914506,295,43
61,-87.2122360197228,30.4840628213658,279,40
62,-87.1975790898503,30.5130019912179,276,40
63,-87.2580692399302,30.4350099426129,223,32
64,-87.3413170304619,30.3608394624668,425,61
65,-87.2006699336502,30.4313976656239,113,17
66,-87.2905568289575,30.4359057618329,470,68
67,-87.2070225200136,30.4856239914791,414,60
68,-87.2992432706082,30.4885366321681,312,45
69,-87.2583049901136,30.4541319006011,320,46
70,-87.2398086297843,30.4625208316224,152,22
71,-87.4045305000308,30.3456318017294,276,40
72,-87.4079219708053,30.3455551313779,377,54
73,-87.3007393499477,30.575998792095,366,53
74,-87.2689513696706,30.5487790913529,374,54
75,-87.2694118503476,30.5498921323025,1053,151
76,-87.2688751100097,30.5556270414769,409,59
77,-87.3428875905768,30.5802268821093,327,47
78,-87.362425829322,30.7405225923826,217,31
79,-87.3587014793221,30.3865130917734,436,63
80,-87.2901486900768,30.3887272306961,403,58
81,-87.2854930007046,30.5428549515381,393,57
82,-87.2925597598869,30.4873581315924,277,40
83,-87.2408157703094,30.4833276413941,693,99
84,-87.4764741806937,30.8982960916138,65,10
85,-87.428757669484,30.9637149219866,110,16
86,-87.4066196195179,30.9670953321486,66,10
87,-87.2701034896103,30.5158336716357,309,45
88,-87.2370218994842,30.4312531005644,175,25
89,-87.2540261503874,30.4288193416705,666,96
90,-87.2952154910474,30.5205424111834,1086,156
91,-87.2062699696762,30.4214688718942,241,35
92,-87.2564395544328,30.9740982492384,265,38
93,-87.4040107330408,30.3231138546325,189,27
94,-87.2933038841874,30.382507379762,311,45
95,-87.2850559587968,30.3931736738206,278,40
96,-87.2548625451083,30.3937107107984,243,35
97,-87.3169386900998,30.4168695406454,458,66
98,-87.2242778542367,30.4110467598523,297,43
99,-87.3322836734578,30.6088597206365,476,68
100,-87.2539099506382,30.9730738147998,54,8
101,-87.2223147970701,30.4471698268394,583,84
102,-87.1989045660064,30.4829592982753,248,36
103,-87.2336674402961,30.4246578062485,499,72
104,-87.2569672933235,30.4742720948122,651,93
105,-87.202267016886,30.4263388706008,433,62
106,-87.2432801305227,30.4154233816498,212,31
107,-87.2747798030133,30.3492955458093,87,13
108,-87.220894330386,30.5245663914677,131,19
109,-87.1833510457274,30.5102831337831,757,109
110,-87.1906648802819,30.4961704208669,,
111,-87.2349803687937,30.4734121719207,6030,862
112,-87.1955698003559,30.4947886616996,124,18
113,-87.2215194099156,30.4123757116631,229,33
114,-87.2749280982408,30.3493007970932,131,19
115,-87.1994205210542,30.4796319420667,2621,375
116,-87.2866247401423,30.3967274518151,4289,613
117,-87.2775590593687,30.4087038217413,,
118,-87.2750296266761,30.3493207012002,,
119,-87.2185724396996,30.5490304815024,6763,967
120,-87.259016799544,30.5342896263519,,
121,-87.216058080463,30.4124212917399,,
