WID,TYPE,x,y,WORKER,SERIAL,NAICS,ESS_CLASS
8289,w,-82.390482,29.656386,1,162544,999999,NA
8290,w,-82.286343,29.512368,1,162589,722320,Essential*
8291,w,-82.3760235,29.679624,3,162601,561990,Essential*
8292,w,-82.3306905,29.661705,1,162638,624190,Essential
8293,w,-82.3012605,29.673666,3,162656,442210,Nonessential
8294,w,-82.4371335,29.657142,3,162657,238990,Essential*
8295,w,-82.389231,29.674467,5,162667,238320,Essential*
8296,w,-82.410831,29.768553,5,162718,238220,Essential*
8297,w,-82.4922315,29.653083,1,162719,236115,Essential
8298,w,-82.34271,29.639799,1,162750,621111,Essential
8299,w,-82.4106759285982,29.659755435192,1,162909,621399,Essential
8300,w,-82.4306535,29.565603,1,162913,541940,Essential
8301,w,-82.4984461179728,29.7916156466715,1,162917,238220,Essential*
8302,w,-82.34271,29.639799,6,162921,621111,Essential
8303,w,-82.3395105,29.680128,1,162928,722511,Essential*
8304,w,-82.3299705,29.559996,10,162964,812112,Nonessential
8305,w,-82.458873,29.660859,1,162974,621310,Essential
8306,w,-82.355391,29.715444,2,162978,238110,Essential*
8307,w,-82.3858425,29.654433,23,162988,524210,Essential
8308,w,-82.4909715,29.793906,11,162998,624190,Essential
8309,w,-82.3783725,29.605716,3,163000,541380,Essential
8310,w,-82.3935480668947,29.703183036987,1,163018,511130,Nonessential
8311,w,-82.383174,29.674296,2,163023,624410,Essential
8312,w,-82.313793,29.67291,11,163029,541921,Nonessential
8313,w,-82.580094,29.643354,1,163048,999999,NA
8314,w,-82.34271,29.639799,5,163096,621111,Essential
8315,w,-82.4124015,29.768499,1,163227,999999,NA
8316,w,-82.324503000000007,29.652093,95,163256,541990,Essential*
8317,w,-82.263312,29.71197,3,163287,924110,Essential
8318,w,-82.3880108016059,29.6737985635377,1,163298,621320,Essential
8319,w,-82.332612,29.650428,1,163302,561621,Essential
8320,w,-82.32291,29.656674,11,163315,444190,Essential
8321,w,-82.38789,29.673099,3,163328,812921,Nonessential
8322,w,-82.3810815,29.662173,5,163336,812191,Nonessential
8323,w,-82.389852,29.705292,14,163351,541110,Essential
8324,w,-82.3836015,29.612313,1,163392,236118,Essential*
8325,w,-82.354824,29.670246,1,163402,531110,Essential
8326,w,-82.34271,29.639799,18,163405,621111,Essential
8327,w,-82.279422,29.694177,2,163414,488190,Essential
8328,w,-82.4143731869962,29.6595029670862,4,163476,452210,NA
8329,w,-82.3977,29.693727,1,163504,448120,Nonessential
8330,w,-82.4154615,29.60073,14,163519,812990,Nonessential
8331,w,-82.287864,29.633589,3,163534,624410,Essential
8332,w,-82.3727499999999,29.61064,1,163558,561492,Essential
8333,w,-82.117113895411,29.6654610918278,1,163559,722511,Essential*
8334,w,-82.4392125,29.607084,1,163572,561990,Essential*
8335,w,-82.343754,29.65239,2,163578,451211,Essential
8336,w,-82.5814215,29.859579,1,163580,111998,Essential
8337,w,-82.433403,29.569779,1,163609,812990,Nonessential
8338,w,-82.3875199999999,29.6721600000001,33,163621,561720,Essential
8339,w,-82.3137615,29.661705,16,163754,541430,Nonessential
8340,w,-82.47987,29.702619,6,163771,561990,Essential*
8341,w,-82.2998205,29.638737,25,163808,561510,Nonessential
8342,w,-82.3474935,29.616975,1,163824,999999,NA
8343,w,-82.460772,29.631132,1,163845,561990,Essential*
8344,w,-82.390203,29.675709,2,163891,722513,Essential*
8345,w,-82.4527935,29.642454,1,163893,561990,Essential*
8346,w,-82.305261,29.686716,1,163902,813110,Essential*
8347,w,-82.2698505,29.651607,2,163903,561730,Essential*
8348,w,-82.39361175,29.703183036987,2,163913,541110,Essential
8349,w,-82.461654,29.683044,1,163945,541611,Essential*
8350,w,-82.317303,29.646864,2,163948,445110,Essential
8351,w,-82.325484,29.66391,1,163960,445110,Essential
8352,w,-82.4303939901041,29.6798661001577,1,163982,453920,Nonessential
8353,w,-82.3841325,29.672973,1,164028,621330,Essential
8354,w,-82.421982,29.653695,1,164059,928110,Essential
8355,w,-82.371222,29.699892,2,164073,999999,NA
8356,w,-82.573173,29.625813,2,164087,541840,Essential*
8357,w,-82.3234905,29.689929,25,164109,454390,Nonessential
8358,w,-82.385244,29.653299,1,164184,541110,Essential
8359,w,-82.38852,29.654946,2,164190,621111,Essential
8360,w,-82.3411035,29.62971,5,164205,541618,Essential*
8361,w,-82.3423005,29.612835,1,164234,621399,Essential
8362,w,-82.4256315,29.66337,1,164251,532490,Essential
8363,w,-82.4731425,29.905074,1,164285,238210,Essential*
8364,w,-82.433754,29.690802,8,164292,621111,Essential
8365,w,-82.38636,29.669922,27,164294,524113,Essential
8366,w,-82.442952,29.662794,1,164298,561990,Essential*
8367,w,-82.3792905,29.716893,2,164311,561499,Essential*
8368,w,-82.3261905,29.666484,1,164338,423430,Essential
8369,w,-82.324431,29.647305,24,164357,541310,Essential
8370,w,-82.330704,29.660337,2,164393,621399,Essential
8371,w,-82.373481,29.595276,1,164410,561990,Essential*
8372,w,-82.53873,29.619252,1,164411,561499,Essential*
8373,w,-82.322271,29.66256,10,164439,813410,Nonessential
8374,w,-82.375182,29.663388,1,164464,238210,Essential*
8375,w,-82.417104,29.621763,1,164471,812199,Nonessential
8376,w,-82.32255,29.648745,1,164497,561990,Essential*
8377,w,-82.6211925,29.837313,1,164498,423450,Essential
8378,w,-82.333143,29.674152,9,164567,621399,Essential
