date,rs_cci_cmi,cci,adjusted_cci,cmi,adjusted_cmi
2020-01-01,0.894419481661114,NA,NA,NA,NA
2020-01-02,0.894419481661114,NA,NA,NA,NA
2020-01-03,0.894419481661114,NA,NA,NA,NA
2020-01-04,0.894419481661114,NA,NA,NA,NA
2020-01-05,0.894419481661114,NA,NA,NA,NA
2020-01-06,0.894419481661114,NA,NA,NA,NA
2020-01-07,0.894419481661114,NA,NA,NA,NA
2020-01-08,0.894419481661114,NA,NA,NA,NA
2020-01-09,0.894419481661114,NA,NA,NA,NA
2020-01-10,0.894419481661114,NA,NA,NA,NA
2020-01-11,0.894419481661114,NA,NA,NA,NA
2020-01-12,0.894419481661114,NA,NA,NA,NA
2020-01-13,0.894419481661114,NA,NA,NA,NA
2020-01-14,0.894419481661114,NA,NA,NA,NA
2020-01-15,0.894419481661114,NA,NA,NA,NA
2020-01-16,0.894419481661114,NA,NA,NA,NA
2020-01-17,0.894419481661114,NA,NA,NA,NA
2020-01-18,0.894419481661114,NA,NA,NA,NA
2020-01-19,0.894419481661114,NA,NA,NA,NA
2020-01-20,0.894419481661114,NA,NA,NA,NA
2020-01-21,0.894419481661114,NA,NA,NA,NA
2020-01-22,0.894419481661114,NA,NA,NA,NA
2020-01-23,0.894419481661114,NA,NA,NA,NA
2020-01-24,0.894419481661114,NA,NA,NA,NA
2020-01-25,0.894419481661114,NA,NA,NA,NA
2020-01-26,0.894419481661114,NA,NA,NA,NA
2020-01-27,0.894419481661114,NA,NA,NA,NA
2020-01-28,0.894419481661114,NA,NA,NA,NA
2020-01-29,0.894419481661114,NA,NA,NA,NA
2020-01-30,0.894419481661114,NA,NA,NA,NA
2020-01-31,0.894419481661114,NA,NA,NA,NA
2020-02-01,0.894419481661114,0.949115815977979,0.992728926019239,0.915465342491612,0.805845571945621
2020-02-02,0.894419481661114,0.950691943510135,0.992728926019239,0.935044189660881,0.805845571945621
2020-02-03,0.894419481661114,1.00590384817625,0.992728926019239,0.98852758823415,0.805845571945621
2020-02-04,0.894419481661114,0.992595448729768,0.992728926019239,0.982348505287893,0.805845571945621
2020-02-05,0.894419481661114,0.991797904777268,0.992728926019239,0.97360088727811,0.805845571945621
2020-02-06,0.894419481661114,1.0875731863187,0.992728926019239,0.96445723432892,0.805845571945621
2020-02-07,0.894419481661114,1.2834985182002,0.992728926019239,0.98774785223501,0.805845571945621
2020-02-08,0.894419481661114,1.27742753764269,0.992728926019239,0.994493531935976,0.805845571945621
2020-02-09,0.894419481661114,1.11304434137029,0.992728926019239,1.02161398201302,0.805845571945621
2020-02-10,0.894419481661114,1.03393606423045,0.992728926019239,1.02518322507645,0.805845571945621
2020-02-11,0.894419481661114,1.00929855779337,0.992728926019239,0.999938646302794,0.805845571945621
2020-02-12,0.894419481661114,1.0165553274239,0.992728926019239,1.00802051353364,0.805845571945621
2020-02-13,0.894419481661114,1.0131567720824,0.992728926019239,1.08142060751554,0.805845571945621
2020-02-14,0.894419481661114,1.00819324265985,0.992728926019239,1.10768921905511,0.805845571945621
2020-02-15,0.894419481661114,1.05109295773943,0.992728926019239,1.0194328735622,0.805845571945621
2020-02-16,0.894419481661114,1.0494197873116,0.992728926019239,1.09254982538415,0.805845571945621
2020-02-17,0.894419481661114,1.00572256941641,0.992728926019239,1.24846252452965,0.805845571945621
2020-02-18,0.894419481661114,1.03104543562948,0.992728926019239,1.06501103305155,0.805845571945621
2020-02-19,0.894419481661114,1.01415765282701,0.992728926019239,1.00671075907046,0.805845571945621
2020-02-20,0.894419481661114,0.99030474793055,0.992728926019239,0.977227639324008,0.805845571945621
2020-02-21,0.894419481661114,0.959823101940461,0.992728926019239,0.964949241021829,0.805845571945621
2020-02-22,0.894419481661114,0.924135545568301,0.992728926019239,0.99867960602336,0.805845571945621
2020-02-23,0.894419481661114,0.926171345783586,0.992728926019239,1.01580955620174,0.805845571945621
2020-02-24,0.894419481661114,0.981635945581793,0.992728926019239,1.00824676429493,0.805845571945621
2020-02-25,0.894419481661114,0.981160722392331,0.992728926019239,1.01116718475886,0.805845571945621
2020-02-26,0.894419481661114,0.979211465266856,0.992728926019239,1.02136891501375,0.805845571945621
2020-02-27,0.894419481661114,0.97381538265213,0.992728926019239,1.03979722738616,0.805845571945621
2020-02-28,0.894419481661114,0.970467627099195,0.992728926019239,1.04400457956768,0.805845571945621
2020-02-29,0.894419481661114,0.96607524312634,0.992728926019239,1.02822466281203,0.805845571945621
2020-03-01,0.894419481661114,0.923342276833443,0.992728926019239,1.04962258013069,0.805845571945621
2020-03-02,0.894419481661114,0.960065376162498,0.992728926019239,1.06348412444931,0.805845571945621
2020-03-03,0.894419481661114,0.9641639779105,0.992728926019239,1.04212584604157,0.805845571945621
2020-03-04,0.894419481661114,0.947432878612494,0.992728926019239,1.02703846406146,0.805845571945621
2020-03-05,0.894419481661114,0.951036947791661,0.992728926019239,0.995484483133966,0.805845571945621
2020-03-06,0.894419481661114,1.00787074451027,0.992728926019239,1.00287535631235,0.805845571945621
2020-03-07,0.894419481661114,1.01791983501592,0.992728926019239,1.05164642335019,0.805845571945621
2020-03-08,0.894419481661114,1.0044935899333,0.992728926019239,1.00716273967811,0.805845571945621
2020-03-09,0.894419481661114,1.04743136472435,0.992728926019239,0.991791331520789,0.805845571945621
2020-03-10,0.894419481661114,1.03981541378167,0.992728926019239,1.03196302338106,0.805845571945621
2020-03-11,0.867276997298817,0.975592947732296,0.931414678410968,1.03415322383989,0.80755586902161
2020-03-12,0.812438593246362,0.889881553800055,0.849584596919378,0.994916820687145,0.776916707517432
