date,adjusted_cci,cci
2020-02-01,1,1.05518140753604
2020-02-02,1,1.00798792011365
2020-02-03,1,1.00683628846784
2020-02-04,1,1.0037338120162
2020-02-05,1,1.00992196527747
2020-02-06,1,1.30988545932374
2020-02-07,1,1.73447147029125
2020-02-08,1,1.42424039895627
2020-02-09,1,1.11087757994203
2020-02-10,1,1.01385363967956
2020-02-11,1,0.973813855235438
2020-02-12,1,0.982004705311176
2020-02-13,1,0.942164589459548
2020-02-14,1,0.921936825389887
2020-02-15,1,0.976493752493246
2020-02-16,1,1.02480221432456
2020-02-17,1,1.06231219814882
2020-02-18,1,1.01914574773163
2020-02-19,1,1.02098744008493
2020-02-20,1,1.02524584773203
2020-02-21,1,0.945389128234802
2020-02-22,1,0.855405344855043
2020-02-23,1,0.847067299895863
2020-02-24,1,0.899954853037724
2020-02-25,1,0.902187360170734
2020-02-26,1,0.903205066426615
2020-02-27,1,0.886331675654403
2020-02-28,1,0.887522900028334
2020-02-29,1,0.892853475104621
2020-03-01,1,0.8222455331581
2020-03-02,1,0.842827219387778
2020-03-03,1,0.860099114488771
2020-03-04,1,0.859926110006943
2020-03-05,1,0.95877865980864
2020-03-06,1,1.05666033889249
2020-03-07,1,1.00281294827808
2020-03-08,1,0.967466052654618
2020-03-09,1,1.09664386830078
2020-03-10,1,1.10296088037584
2020-03-11,0.872886446171713,0.962759603137693
2020-03-12,0.757539750078433,0.835536709666204
2020-03-13,0.595286160923453,0.656577348127687
2020-03-14,0.521625940589277,0.575333006659226
2020-03-15,0.596333350744523,0.657732357534655
2020-03-16,0.687744992083044,0.758555821941991
2020-03-17,0.640558115016433,0.706510542470414
2020-03-18,0.563920345726647,0.621982080984511
2020-03-19,0.404038767980958,0.445638955238248
2020-03-20,0.213737992797637,0.235744644705847
2020-03-21,0.170468893410118,0.188020520752319
2020-03-22,0.252605938159863,0.278614467940968
2020-03-23,0.300786394710297,0.331755626714745
2020-03-24,0.296289250108711,0.326795452145802
2020-03-25,0.292502462268406,0.322618773295662
2020-03-26,0.258909193037108,0.285566711489607
2020-03-27,0.209822763914177,0.231426300409673
2020-03-28,0.182058069777851,0.200802928921705
2020-03-29,0.206635847218896,0.227911255965762
2020-03-30,0.255291258887953,0.281576271655313
2020-03-31,0.266267509465395,0.293682646655435
2020-04-01,0.274367509705729,0.302616630051558
2020-04-02,0.237705566031941,0.262179940380827
2020-04-03,0.18283304119761,0.201657692081108
2020-04-04,0.161608848653846,0.178248237987773
2020-04-05,0.189084142187661,0.208552411932414
2020-04-06,0.235328297245797,0.259557905907572
2020-04-07,0.239067412167896,0.263682003393877
2020-04-08,0.240196004161292,0.264926796212498
2020-04-09,0.228542527191419,0.252073466994368
2020-04-10,0.199028473672461,0.219520620541638
2020-04-11,0.17563869379705,0.193722608338457
2020-04-12,0.196434364496587,0.216659419601225
2020-04-13,0.241479279242216,0.266342198425518
2020-04-14,0.247849165390643,0.273367933659682
2020-04-15,0.252455885617106,0.278448965856306
2020-04-16,0.231561883207418,0.255403698563942
2020-04-17,0.200099535189275,0.220701959495159
2020-04-18,0.177126758907391,0.195363885942615
2020-04-19,0.204840734736966,0.225931317122319
2020-04-20,0.25477266970735,0.281004288076122
2020-04-21,0.26321072950277,0.290311137936743
2020-04-22,0.261073993632632,0.287954401860284
2020-04-23,0.236656748930151,0.261023136146884
2020-04-24,0.208629935047701,0.230110656832968
2020-04-25,0.19472085441406,0.214769485012068
2020-04-26,0.21963859992387,0.242252783536549
2020-04-27,0.27563984353986,0.304019964497384
2020-04-28,0.279347373702996,0.308109225230136
2020-04-29,0.273833576915762,0.302027723071475
2020-04-30,0.260383658059062,0.287192988728305
2020-05-01,0.251524247412239,0.277421405361674
2020-05-02,0.233154014548202,0.257159757149247
2020-05-03,0.26171292974278,0.288659123394838
2020-05-04,0.332220040138567,0.366425707949732
2020-05-05,0.34148124563339,0.376640455315643
2020-05-06,0.340261358345196,0.375294967358297
2020-05-07,0.32876894332463,0.362619283169569
2020-05-08,0.318896774369547,0.351730667007652
2020-05-09,0.297465531977855,0.328092845031764
2020-05-10,0.308173152972827,0.339902932111108
2020-05-11,0.348095097937477,0.383935275675634
2020-05-12,0.347426188420287,0.383197494645663
2020-05-13,0.373559035828836,0.412021003030123
2020-05-14,0.353564315076505,0.389967608226264
2020-05-15,0.340694994531992,0.375773251108649
2020-05-16,0.326272837108546,0.359866175659966
2020-05-17,0.346377311048169,0.382040623935906
2020-05-18,0.412881576313941,0.45539222690219
2020-05-19,0.42666144204849,0.470590879744228
2020-05-20,0.424859938124875,0.468603891390638
2020-05-21,0.419202183566932,0.462363609442459
2020-05-22,0.436006066567969,0.480897635031015
2020-05-23,0.477623033091341,0.526799521066206
2020-05-24,0.59965550630351,0.66139656515474
2020-05-25,0.616954653432547,0.680476847701934
2020-05-26,0.555647565853233,0.612857528412175
2020-05-27,0.565656089787058,0.62389653878149
2020-05-28,0.526800704830313,0.581040569182256
2020-05-29,0.473669999326518,0.522439479464801
2020-05-30,0.443291671960344,0.48893337276866
2020-05-31,0.495177654371898,0.546161581608473
2020-06-01,0.594266920338158,0.655453165634415
2020-06-02,0.610926230002189,0.673827732487908
2020-06-03,0.612212903428028,0.675246882942429
2020-06-04,0.574249954363507,0.63337523522056
2020-06-05,0.495555393338919,0.546578212912091
2020-06-06,0.444164341709572,0.489895893363546
2020-06-07,0.515937276245896,0.569058632426887
2020-06-08,0.642377784691807,0.708517566937559
2020-06-09,0.666787491213718,0.735440518332681
2020-06-10,0.672138745658568,0.741342742646288
