date,mean,sd,a_shape,b_scale
2020-03-01,38.2968235902337,27.81045840887843,1.896309468157297,20.195450285573862
2020-03-02,35.913493028943364,26.702005834049743,1.8089539962921266,19.853182061321874
2020-03-03,33.681612533869895,25.640099738853475,1.7256246288011963,19.518504761530178
2020-03-04,31.594918225157993,24.625105439066946,1.6461836117798905,19.1928275795413
2020-03-05,29.64814776022646,23.657959043745485,1.570509549950095,18.878043601306704
2020-03-06,27.836493081531103,22.739850512820635,1.4984899367048308,18.576363043680736
2020-03-07,26.155223168006472,21.87197982349069,1.4300152429324346,18.290170889627543
2020-03-08,24.599444759927202,21.055378092261385,1.364974444205805,18.02190866235603
2020-03-09,23.16397167720629,20.290785000402128,1.3032518563607174,17.773979422435527
2020-03-10,21.8432761535179,19.57857350398758,1.2447251393244336,17.548674372699818
2020-03-11,20.631498774103484,18.918712758784498,1.1892643215060286,17.348118833647277
2020-03-12,19.522497105652295,18.310760517929644,1.1367316938176433,17.174234880429168
2020-03-13,18.5099167830361,17.753876944283,1.0869824239043946,17.028717646187204
2020-03-14,17.587272463049214,17.24685274486854,1.0398657469483399,16.91302219989649
2020-03-15,16.74802947260909,16.788145683190574,0.9952265984134107,16.828357983306297
2020-03-16,15.985680014529427,16.375920755258257,0.9529075649921989,16.775688011943004
2020-03-17,15.293810350943103,16.008090537299125,0.9127510414913502,16.75573037523402
2020-03-18,14.666157421428466,15.682353357087099,0.874601492372267,16.768959977015378
2020-03-19,14.096654874455226,15.396227957297263,0.8383077264467144,16.81560891035311
2020-03-20,13.579469534303525,15.147084178523537,0.8037251015601414,16.89566433590776
2020-03-21,13.109029948116508,14.932169877235488,0.7707175831773446,17.008863212998833
2020-03-22,12.680048925212752,14.748634806745752,0.7391595872027816,17.15468370395918
2020-03-23,12.287541960863892,14.593552530890523,0.7089375439795754,17.332333525304026
2020-03-24,11.926843194851843,14.463941618260382,0.6799511281827545,17.540735944843075
2020-03-25,11.593620153343574,14.356787389537628,0.6521141091515774,17.778514512478907
2020-03-26,11.283888020056446,14.2690653740468,0.6253547887255169,18.043977952184857
2020-03-27,10.994023636593774,14.197767389314578,0.5996160090848188,18.33510691846557
2020-03-28,10.720778897846197,14.13993080904228,0.5748547311471326,18.649544514407484
2020-03-29,10.461292739778775,14.092671156165231,0.551041203897552,18.98459256002154
2020-03-30,10.213100561963106,14.053217681101822,0.5281577653013173,19.337215568792157
2020-03-31,9.974139725114977,14.018951099826765,0.5061973345110896,19.704054219780698
2020-04-01,9.742749740085562,13.987442215575713,0.48516167116277237,20.081449791232288
2020-04-02,9.517665926491793,13.956489776542583,0.46505948902998223,20.46548054818465
2020-04-03,9.29800565271449,13.924155671156225,0.4459045169411082,20.852010462909266
2020-04-04,9.08324673945892,13.888795464976294,0.4277135990044191,21.23674992004421
2020-04-05,8.873198163603593,13.849082357799508,0.4105049188794452,21.61532726044977
2020-04-06,8.66796377308719,13.804022887645852,0.39429641981198854,21.983369205381866
2020-04-07,8.467900249536731,13.75296311239108,0.3791044747396852,22.336587441631426
2020-04-08,8.273570972091745,13.69558452454521,0.3649428406937997,22.670868008707075
2020-04-09,8.085697697415906,13.631889550685205,0.3518219108494193,22.98235967707141
2020-04-10,7.905112052394813,13.56217709704125,0.33974825770412687,23.26755729614089
2020-04-11,7.732708736447074,13.487009168872182,0.3287244434975245,23.523376157165224
2020-04-12,7.569402071063454,13.407170062533478,0.3187490601915487,23.74721376908439
2020-04-13,7.416087154162319,13.323619967645888,0.309816951691935,23.93699606707276
2020-04-14,7.273606425816625,13.23744500174816,0.30191956560538935,24.09120591847721
2020-04-15,7.142721982586033,13.149805729078096,0.2950453803998508,24.208892791021125
2020-04-16,7.024093538718792,13.06188610367491,0.28918035579468676,24.289663519557262
2020-04-17,6.918261563210187,12.974844553504388,0.28430835884080663,24.333655160254867
2020-04-18,6.82563484912514,12.889768624005283,0.28041152472796216,24.341491868948488
2020-04-19,6.746481609807819,12.807634266646136,0.2774705192341046,24.314228511302655
2020-04-20,6.680923147939714,12.729270528844603,0.2754646784139756,24.25328425555688
2020-04-21,6.62892920086995,12.655330107662232,0.27437201029017405,24.160369688800394
2020-04-22,6.590314215604836,12.586265993523018,0.2741690527992869,24.0374110364289
2020-04-23,6.564734031604183,12.522314263759615,0.2748305920148358,23.88647487703919
2020-04-24,6.551682729030076,12.463482990407293,0.2763292547210121,23.70969637523466
2020-04-25,6.550489712834085,12.409547194170669,0.278634999714038,23.509213557366543
2020-04-26,6.560317426157301,12.360049790932331,0.28171454260542594,23.287109587898666
2020-04-27,6.580160395270424,12.314308517107106,0.2855307590367547,23.04536442052255
2020-04-28,6.608846575749624,12.27142886107166,0.2900421204773155,22.785816642333195
2020-04-29,6.64504216662756,12.230323044887738,0.29520222428356985,22.510135832324774
2020-04-30,6.6872611556265475,12.189735070868311,0.3009594843429944,22.219805334346198
2020-05-01,6.733880825393936,12.148271753325412,0.3072570491695838,21.916115004011896
2020-05-02,6.78316426437904,12.104439486514169,0.314033009574026,21.60016322354184
