Week,median_age,mean_age
10,56,53.3347022587269
11,50,50.4009661835749
12,50,49.6973333333333
13,50,49.8307256990679
14,50,50.0112799624001
15,50,50.5759439603622
16,51,51.2500489907897
17,50,50.9277058944342
18,52,52.0899194426301
19,48,49.437149899171
20,46,47.9901098901099
21,44,45.6820712694878
22,41,43.187028415476
23,39,41.4557355939479
24,36,39.2752391073326
25,35,38.3063356220104
26,35,38.7172319062083
27,38,40.1508543304649
28,40,41.4218094120714
29,41,42.285756584876
30,41,42.6351778253337
31,42,43.0561043802423
32,42,43.0603645781452
33,42,43.2973294284803
34,43,43.6741548141256
35,42,43.523576918067
36,39,41.6948670944088
