Age_grp,cr,hr,dr,cr_dr_ratio
00 - 19,18.499815293683,4.8503937007874,2.94594594594595,6.2797538152869
20 - 49,10.4887819403088,2.66541822721598,3.21276595744681,3.2647202065862
50 - 69,7.46343141405589,2.52902574457345,3.52916073968706,2.11478931240681
70 and above,5.24554049232965,2.25882582406866,2.91640253565769,1.798633908795
All,8.96085709191695,2.46337894827438,3.05550660792952,2.93269111860604
